song_id,title,release,artist_name,Genre
77,Cham Cham,Baaghi,Monali Thakur,Dance
78,Kar Har Maidaan Fateh,Sanju,"Shreya Ghoshal, Sukhwinder Singh",Motivational
79,Kamariya,Stree,"Aastha Gill, Divya Kumar, Jigar Saraiya, Sachin Sanghvi",Dance
80,Tamma Tamma Again,Badrinath Ki Dulhania,"Anuradha Paudwal, Badshah, Bappi Lahiri",Dance
81,Tera Fitoor,Genius,Arijit Singh,Romantic
82,Mere Rashke Qamar,Baadshaho,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan",Romantic
83,The Breakup Song,Ae Dil Hai Mushkil,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",Dance
84,Naino Ne Bandhi,Gold,Yasser Desai,Romantic
85,Sanu Ek Pal Chain,Raid,Rahat Fateh Ali Khan,Romantic
86,Ban Ja Rani,Tumhari Sulu,Guru Randhawa,DanceRomantic
87,Zaalima,Raees,"Arijit Singh, Harshdeep Kaur",DanceRomantic
88,Baarish,Half Girlfriend,"Ash King, Shashaa Tirupati",Romantic
89,Aashiq Banaya Aapne,Hate Story 4,"Himesh Reshammiya, Neha Kakkar",Dance
90,Ek Do Teen Song,Baaghi 2,Shreya Ghoshal,Dance
91,Tere Liye,Namaste England,"Akanksha Bhandari, Atif Aslam",Romantic
92,Nazam Nazam,Bareilly Ki Barfi,"Arko, Ayushman Khurana",Romantic
93,Good Morning,Ek Ladki Ko Dekha Toh Aisa Laga,"Shannon Donald, Vishal Dadlani",Bollywood
94,O Saathi,Baaghi 2,"Atif Aslam, Payal Dev",Romantic
95,Tere Jaisa,Satyameva Jayate,"Arko, Tulsi Kumar",Romantic
96,Mera Intkam Dekhegi,Shaadi Mein Zaroor Aana,Krishna Beuraa,Sad
97,Gerua,Dilwale,"Antara Mitra, Arijit Singh",Romantic
98,Suraiyya,Thugs of Hindostan,"Shreya Ghoshal, Vishal Dadlani",Dance
99,Gold Tamba,Batti Gul Meter Chalu,Nakash Aziz,Dance
100,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,Arijit Singh,Sad
101,Prem Ratan Dhan Payo,Prem Ratan Dhan Payo,Palak Muchhal,DanceRomantic
102,Mohabbat,Fanney Khan,Sunidhi Chauhan,Dance
103,Nainowale Ne,Padmaavat,Neeti Mohan,Romantic
104,Mummy Kasam,Nawabzaade,"Gurinder Seagal, Payal Dev",Dance
105,Nasha,Game Paisa Ladki,Amit Gupta,RomanticSensual
106,Bulleya,Ae Dil Hai Mushkil,"Amit Mishra, Shilpa Rao",Dance
107,Kar Gayi Chull,Kapoor & Sons,"Badshah, Fazilpuria, Neha Kakkar, Sukriti Kakar",Dance
108,Musafir,Sweetiee Weds NRI,"Atif Aslam, Palak Muchhal",Sad
109,Binte Dil,Padmaavat,Arijit Singh,Dance
110,Halka Halka,Fanney Khan,"Divya Kumar, Sunidhi Chauhan",Romantic
111,Humsafar,Badrinath Ki Dulhania,"Akhil Sachdeva, Mansheel Gujral",RomanticSad
112,Chad Gayi Hai,Gold,"Jigar, Sachin Sanghvi, Vishal Dadlani",Dance
113,Tum Mere Ho,Hate Story 4,"Amrita Singh, Jubin Nautiyal",RomanticSensual
114,Bole Chudiyan,Kabhi Khushi Kabhie Gham,"Alka Yagnik, Amit Kumar, Kavita Krishnamurthy, Sonu Nigam, Udit Narayan",DanceRomantic
115,Sawarne Lage,Mitron,Jubin Nautiyal,Romantic
116,Chalti Hai Kya 9 Se 12,Judwaa 2,"Dev Negi, Neha Kakkar",Dance
117,Selfish,Race 3,"Atif Aslam, Iulia Vantur",Romantic
118,Oonchi Hai Building,Judwaa 2,"Anu Malik, Neha Kakkar",Dance
119,Shikwa Nahin Kisi Se,Naseeb,Kumar Sanu,Sad
120,Sanam Re,Sanam Re,Arijit Singh,Romantic
121,Dekha Hai Pehli Baar,Saajan,"Alka Yagnik, S.P. Balasubrahmanyam",Dance
122,Phir Bhi Tumko Chaahunga,Half Girlfriend,"Arijit Singh, Shashaa Tirupati",Sad
123,Suit Suit,Hindi Medium,"Arjun, Guru Randhawa",Dance
124,Nachange Saari Raat,Junooniyat,"Meet Bros, Neeraj Shridhar, Tulsi Kumar",Dance
125,Ishq Di Baajiyan,Soorma,Diljit Dosanjh,Romantic
126,Hard Hard,Batti Gul Meter Chalu,"Mika Singh, Prakriti Kakar, Sachet Tandon",Dance
127,Udi Udi Jaye,Raees,"Bhoomi Trivedi, Karsan Sagathia, Sukhwinder Singh",Dance
128,Nazar Na Lag Jaaye,Stree,"Ash King, Jigar, Sachin Sanghvi",Romantic
129,Nachle Na,Dil Juunglee,"Guru Randhawa, Neeti Mohan",Dance
130,Hatt Ja Tau,Veerey Ki Wedding,Sunidhi Chauhan,Dance
131,Chittiyaan Kalaiyaan,Roy,"Anjjan, Kanika Kapoor, Meet Bros",Dance
132,La La La (Baazaar),Baazaar,"Bilal Saeed, Neha Kakkar",DanceRomantic
133,Tujhse Kahan Judaa Hoon Main,Genius,"Himesh Reshammiya, Neeti Mohan, Vineet Singh",Sad
134,Hua Hain Aaj Pehli Baar,Sanam Re,"Armaan Malik, Palak Muchhal",Romantic
135,Jay-Jaykara,Baahubali 2 - The Conclusion,Kailash Kher,Sad
136,Tu Hi Hai,Half Girlfriend,Rahul Mishra,Bollywood
137,Hawa Hawa,Mubarakan,"Mika Singh, Prakriti Kakkar",Dance
138,Bhangra Ta Sajda,Veere Di Wedding,"Neha Kakkar, Romy, Shashwat Sachdev, Surya Ragunaathan",Dance
139,Deewani Mastani,Bajirao Mastani,"Ganesh Chandanshive, Shreya Ghoshal",Dance
140,O Meri Laila,Laila Majnu,"Atif Aslam, Jyotica Tangri",Romantic
141,Lo Safar,Baaghi 2,Jubin Nautiyal,Romantic
142,Chalte Chalte,Mitron,Atif Aslam,Romantic
143,Party Chale On,Race 3,"Iulia Vantur, Mika Singh",Dance
144,Sweety Tera Drama,Bareilly Ki Barfi,"Dev Negi, Pawni Pandey, Shraddha Pandit",Dance
145,Ek Dil Ek Jaan,Padmaavat,Shivam Pathak,Romantic
146,Ae Watan,Raazi,Arijit Singh,Patriotic
147,Sunn Le Zara,1921,Arnab Dutta,Sad
148,Naam Hai Mera,Hate Story 4,Neeti Mohan,RomanticSad
149,Jiyo Re Baahubali,Baahubali 2,"Daler Mehndi, Ramya Behara, Sanjeev Chimmalgi",Dance
150,Soniye Dil Nayi,Baaghi 2,"Ankit Tiwari, Shruti Pathak",RomanticSad
151,Mundiyan,Baaghi 2,"Navraj Hans, Palak Muchhal",Dance
152,Chitthi Aai Hai,Naam,Pankaj Udhas,Sad
153,Hawayein,Jab Harry Met Sejal,Arijit Singh,Romantic
154,Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh,Sad
155,Lag Ja Gale,Saheb Biwi Aur Gangster 3,Jonita Gandhi,Romantic
156,Sleepy Sleepy Akiyaan,Bhaiaji Superhit,"Asees Kaur, Yasser Desai",Dance
157,Subah Subah,Sonu Ke Titu Ki Sweety,"Amaal Mallik, Arijit Singh, Prakriti Kakkar",Dance
158,Naina Da Kya Kasoor,Andha Dhun,Amit Trivedi,Romantic
159,Soorma Anthem,Soorma,Shankar Mahadevan,Motivational
160,Agar Tum Saath Ho,Tamasha,"Alka Yagnik, Arijit Singh",Sad
161,Tum Se,Jalebi,Jubin Nautiyal,RomanticSad
162,Kem Cho,Baazaar,"Ikka, Jyotica Tangri",Dance
163,Aaj Se Teri,Padman,Arijit Singh,Romantic
164,Maana Ke Hum Yaar Nahin,Meri Pyaari Bindu,Parineeti Chopra,Romantic
165,Nain Na Jodeen,Badhaai Ho,"Ayushmann Khurrana, Neha Kakkar, Rochak Kohli",RomanticSad
166,Wajah Tum Ho,Wajah Tum Ho,"Altamash Faridi, Mithoon, Tulsi Kumar",Sad
167,Pyaar De,Beiimaan Love,Ankit Tiwari,Romantic
168,Ik Vaari Aa,Raabta,Arijit Singh,Romantic
169,Radha,Student of the Year,"Shekhar Ravjiani, Shreya Ghoshal, Udit Narayan, Vishal Dadlani",Dance
170,Mehbooba,Fukrey Returns,"Mohammed Rafi, Neha Kakkar, Yasser Desai",Dance
171,Hamari Adhuri Kahani,Hamari Adhuri Kahani,Arijit Singh,Sad
172,Tere Sang Yaara,Rustom,Atif Aslam,Romantic
173,Radha,Jab Harry Met Sejal,"Shahid Mallya, Sunidhi Chauhan",Romantic
174,Kamli,Dhoom 3,Sunidhi Chauhan,Dance
175,Maiya Yashoda,Hum Saath-Saath Hain,"Alka Yagnik, Anuradha Paudwal, Kavita Krishnamurthy",Dance
176,Lae Dooba,Aiyaary,Sunidhi Chauhan,Sad
177,Abhi Toh Party Shuru Hui Hai,Khoobsurat,"Aastha Gill, Badshah",Dance
